word1,word2,human,SVD
love,sex,6.77,0.1360884967761282
tiger,cat,7.35,0.14304522661330463
tiger,tiger,10.0,0.9999999999999998
book,paper,7.46,0.3258859130314401
computer,keyboard,7.62,0.07702242545008264
computer,internet,7.58,0.3721741081499508
plane,car,5.77,0.3527340473215006
train,car,6.31,0.11697239922463508
telephone,communication,7.5,0.12173564094038444
television,radio,6.77,0.7972410603688034
media,radio,7.42,0.30937389050054864
drug,abuse,6.85,0.446570070570055
bread,butter,6.19,0.7565101637162465
cucumber,potato,5.92,0.0
doctor,nurse,7.0,0.1850644715724775
professor,doctor,6.62,0.31835959251805235
student,professor,6.81,0.2790619774733156
smart,student,4.62,0.02574782685951968
smart,stupid,5.81,0.0961821162720604
company,stock,7.08,0.2861115768292168
stock,market,8.08,0.3029764943428943
stock,phone,1.62,0.017724357145917878
stock,CD,1.31,0.022401787590769537
stock,jaguar,0.92,0.01883010376652507
stock,egg,1.81,0.023897994017143598
fertility,egg,6.69,0.03041207185469958
stock,live,3.73,0.045201033763187806
stock,life,0.92,-0.0011692598213201635
book,library,7.46,0.14933129387636143
bank,money,8.12,0.14770311777078476
wood,forest,7.73,0.11369691863951308
money,cash,9.15,0.19313025441457243
professor,cucumber,0.31,0.0
king,cabbage,0.23,0.0
king,queen,8.58,0.3170762138259332
king,rook,5.92,0.02088863164551358
bishop,rabbi,6.69,0.1014403039131224
Jerusalem,Israel,8.46,0.09543965013112261
Jerusalem,Palestinian,7.65,0.05849994072094627
holy,sex,1.62,0.0014156283227117696
fuck,sex,9.44,-0.002228994920888724
Maradona,football,8.62,0.014623076376614237
football,soccer,9.03,0.6465888374988664
football,basketball,6.81,0.7222685183147001
football,tennis,6.63,0.5293243479007625
tennis,racket,7.56,0.0
Arafat,peace,6.73,0.0
Arafat,terror,7.65,0.0
Arafat,Jackson,2.5,0.0
law,lawyer,8.38,-0.01781032919417915
movie,star,7.38,0.2675260871031422
movie,popcorn,6.19,0.0
movie,critic,6.73,0.21107871912507717
movie,theater,7.92,0.2389737256400517
physics,proton,8.12,0.00037889249026103
physics,chemistry,7.35,0.8884366912316888
space,chemistry,4.88,0.1690616548841303
alcohol,chemistry,5.54,0.04740644300112615
vodka,gin,8.46,0.1905493879901866
vodka,brandy,8.13,0.0
drink,car,3.04,0.01731271993262566
drink,ear,1.31,0.10139957272930292
drink,mouth,5.96,0.09787605936135862
drink,eat,6.87,0.38425982893563676
baby,mother,7.85,0.2985468813784009
drink,mother,2.65,0.04357409125595875
car,automobile,8.94,0.2070455581274787
gem,jewel,8.96,0.2559837578916042
journey,voyage,9.29,0.581508722057465
boy,lad,8.83,0.018438025114727714
coast,shore,9.1,0.6580682193493697
asylum,madhouse,8.87,0.0
magician,wizard,9.02,0.5716187311146335
midday,noon,9.29,0.6663357624999624
furnace,stove,8.79,0.0
food,fruit,7.52,0.18452632722147022
bird,cock,7.1,0.12578359586458113
bird,crane,7.38,0.10902587247948083
tool,implement,6.46,0.3953987724184728
brother,monk,6.27,0.014929034072823035
crane,implement,2.69,0.21560007770274828
lad,brother,4.46,0.0026474632080719365
journey,car,5.85,0.07911525425480606
monk,oracle,5.0,-0.014011194064748055
cemetery,woodland,2.08,-0.021977791979197855
food,rooster,4.42,0.030752694018351623
coast,hill,4.38,0.20488344408812348
forest,graveyard,1.85,0.02087861534607175
shore,woodland,3.08,0.05221215999648167
monk,slave,0.92,0.08882583148003238
coast,forest,3.15,0.03655896318854575
lad,wizard,0.92,0.5009596019754308
chord,smile,0.54,0.6435743983124652
glass,magician,2.08,0.07176176753654402
noon,string,0.54,0.0007953658809162077
rooster,voyage,0.62,0.13338030179674246
money,dollar,8.42,0.1014622609048475
money,cash,9.08,0.19313025441457243
money,currency,9.04,0.10662168113289845
money,wealth,8.27,0.16572966119662713
money,property,7.57,0.24457940703409317
money,possession,7.29,0.27822056689887514
money,bank,8.5,0.14770311777078476
money,deposit,7.73,0.02981813095220784
money,withdrawal,6.88,0.15616592468347462
money,laundering,5.65,0.5044723537049334
money,operation,3.31,0.025812709078381162
tiger,jaguar,8.0,0.2716437209035213
tiger,feline,8.0,0.0
tiger,carnivore,7.08,0.0
tiger,mammal,6.85,0.1828210652870542
tiger,animal,7.0,0.083990184270445
tiger,organism,4.77,0.07312584747736402
tiger,fauna,5.62,0.003348844481277174
tiger,zoo,5.87,0.12800583984565653
psychology,psychiatry,8.08,0.184881668925897
psychology,anxiety,7.0,0.08201079486452988
psychology,fear,6.85,0.04908357402286115
psychology,depression,7.42,0.1309495959930725
psychology,clinic,6.58,0.11933322583199017
psychology,doctor,6.42,0.30901935139716635
psychology,Freud,8.21,0.1397198178225964
psychology,mind,7.69,0.11250996550449058
psychology,health,7.23,0.12054104399939224
psychology,science,6.71,0.43977031150944573
psychology,discipline,5.58,0.14360126115871236
psychology,cognition,7.48,0.18064099009962042
planet,star,8.45,0.373935390331013
planet,constellation,8.06,0.2535882143239848
planet,moon,8.08,0.3600017674986871
planet,sun,8.02,0.27514182257592557
planet,galaxy,8.11,0.1432651859748623
planet,space,7.92,0.11191531305393529
planet,astronomer,7.94,0.021006445989523476
precedent,example,5.85,0.44224782673045654
precedent,information,3.85,0.03955218356881739
precedent,cognition,2.81,0.08496848404313723
precedent,law,6.65,-0.0036906599402778554
precedent,collection,2.5,0.07676782698729964
precedent,group,1.77,0.0313594979987026
precedent,antecedent,6.04,0.0
cup,coffee,6.58,0.159676577134846
cup,tableware,6.85,0.0
cup,article,2.4,0.0023584642557348944
cup,artifact,2.92,0.0
cup,object,3.69,0.0016452654960756351
cup,entity,2.15,-0.01714090710697599
cup,drink,7.25,0.013290184783817851
cup,food,5.0,-0.007811016041823482
cup,substance,1.92,-0.011077254671574974
cup,liquid,5.9,0.0009047030370542789
jaguar,cat,7.42,0.30190480150581545
jaguar,car,7.27,0.06389023103854351
energy,secretary,1.81,0.07846899148532967
secretary,senate,5.06,0.2785487019365324
energy,laboratory,5.09,0.10146261808108392
computer,laboratory,6.78,0.2389147298902748
weapon,secret,6.06,0.11412030895893824
FBI,fingerprint,6.94,-0.006776902995969644
FBI,investigation,8.31,0.36813666780093435
investigation,effort,4.59,0.360887864257479
Mars,water,2.94,0.022184663751504508
Mars,scientist,5.63,0.11528152315051272
news,report,8.16,0.35463542274520216
canyon,landscape,7.53,-0.003916858439249528
image,surface,4.56,0.13655341991310502
discovery,space,6.34,0.03717519579566299
water,seepage,6.56,0.0
sign,recess,2.38,0.2331013403592546
Wednesday,news,2.22,0.02133420985834682
mile,kilometer,8.66,0.03687008455917756
computer,news,4.47,0.06593446924034338
territory,surface,5.34,0.09960728157576146
atmosphere,landscape,3.69,0.3012140938774729
president,medal,3.0,-0.00492991543151573
war,troops,8.13,0.21869967132010584
record,number,6.31,0.13967114263369784
skin,eye,6.22,0.1544429605031371
Japanese,American,6.5,0.11444395324916205
theater,history,3.91,0.08778955904396026
volunteer,motto,2.56,0.026054528969174217
prejudice,recognition,3.0,0.08503609390752087
decoration,valor,5.63,0.6006832954594188
century,year,7.59,0.09660053884405764
century,nation,3.16,0.06526173168568906
delay,racism,1.19,0.08075895922638744
delay,news,3.31,0.016180415617880223
minister,party,6.63,0.2046773601306852
peace,plan,4.75,0.13394698357097276
minority,peace,3.69,0.002372098628864944
attempt,peace,4.25,0.15278977679816572
government,crisis,6.56,0.10563818537699517
deployment,departure,4.25,0.329428538125978
deployment,withdrawal,5.88,0.3400749434657454
energy,crisis,5.94,0.06234786166583904
announcement,news,7.56,0.01905623132530136
announcement,effort,2.75,0.37437259406570134
stroke,hospital,7.03,0.09039809275937281
disability,death,5.47,0.145295299916973
victim,emergency,6.47,0.08899442069804998
treatment,recovery,7.91,0.05065813077574956
journal,association,4.97,0.3052605353555528
doctor,personnel,5.0,0.21525534587292888
doctor,liability,5.19,0.30269509255896454
liability,insurance,7.03,0.6084162403508707
school,center,3.44,0.2304534414695429
reason,hypertension,2.31,-0.004623754879371798
reason,criterion,5.91,0.19536233826673582
hundred,percent,7.38,0.1907052952540063
Harvard,Yale,8.13,0.8215382757696399
hospital,infrastructure,4.63,0.033931425173418725
death,row,5.25,0.25462592759173563
death,inmate,5.03,0.0
lawyer,evidence,6.69,0.034996327878706546
life,death,7.88,0.23410814427251328
life,term,4.5,0.2310325484686418
word,similarity,4.75,-0.009056839626193525
board,recommendation,4.47,0.10442614635314251
governor,interview,3.25,0.007000797672306446
OPEC,country,5.63,0.0
peace,atmosphere,3.69,0.019486401888316983
peace,insurance,2.94,0.03836992031608122
territory,kilometer,5.28,0.034230719696550005
travel,activity,5.0,0.026614081305774574
competition,price,6.44,0.10798785128930885
consumer,confidence,4.13,-0.02952290450686306
consumer,energy,4.75,0.07626455015238359
problem,airport,2.38,0.1343358139062062
car,flight,4.94,0.061233308398279646
credit,card,8.06,0.46609874753045233
credit,information,5.31,0.08988512723238211
hotel,reservation,8.03,-0.023167610459769495
grocery,money,5.94,0.0796999498467518
registration,arrangement,6.0,0.20428066924988347
arrangement,accommodation,5.41,0.4246848351568145
month,hotel,1.81,0.0671450729458888
type,kind,8.97,0.4266856573822789
arrival,hotel,6.0,0.12054596232301464
bed,closet,6.72,0.1057319586013756
closet,clothes,8.0,0.006731170043483597
situation,conclusion,4.81,0.2404584082346714
situation,isolation,3.88,0.04447021664270956
impartiality,interest,5.16,0.0
direction,combination,2.25,0.23263074073722043
street,place,6.44,0.07146678324702824
street,avenue,8.88,0.48955024689460397
street,block,6.88,0.14624407776948387
street,children,4.94,0.02134483068699773
listing,proximity,2.56,-0.004256213549550839
listing,category,6.38,0.10524915704120594
cell,phone,7.81,0.2250856754962905
production,hike,1.75,-0.0008800678577269083
benchmark,index,4.25,0.19503813179339868
media,trading,3.88,0.2046171194498039
media,gain,2.88,0.0705265379593674
dividend,payment,7.63,0.03760259842560035
dividend,calculation,6.48,0.2959843492535764
calculation,computation,8.44,0.5346032496909179
currency,market,7.5,0.18537121200592935
OPEC,oil,8.59,0.0
oil,stock,6.34,0.1629007548572226
announcement,production,3.38,0.07475527416222705
announcement,warning,6.0,0.1774390718158505
profit,warning,3.88,0.13853342617386957
profit,loss,7.63,0.15341985698209112
dollar,yen,7.78,-0.013744231514427852
dollar,buck,9.22,-0.0026465037467580366
dollar,profit,7.38,0.06476265625780947
dollar,loss,6.09,0.005934982494460125
computer,software,8.5,0.6479976784207863
network,hardware,8.31,0.09967175280053076
phone,equipment,7.13,0.09470004580103264
equipment,maker,5.91,0.08754550426829838
luxury,car,6.47,0.5456686402572111
five,month,3.38,0.2656978843737792
report,gain,3.63,0.05273663801977808
investor,earning,7.13,0.3065936324724627
liquid,water,7.89,0.1028094005831148
baseball,season,5.97,0.09148776833451072
game,victory,7.03,0.3007253456632543
game,team,7.69,0.34570909558371055
marathon,sprint,7.47,0.00782634064977121
game,series,6.19,0.2299408842584137
game,defeat,6.97,0.21270550882067799
seven,series,3.56,0.13941022049115656
seafood,sea,7.47,0.006001670520345009
seafood,food,8.34,0.04789777616756184
seafood,lobster,8.7,0.0
lobster,food,7.81,0.0
lobster,wine,5.7,0.0
food,preparation,6.22,0.45169327642448875
video,archive,6.34,-0.00032868270176432586
start,year,4.06,0.23947826135703176
start,match,4.47,0.3816632162737309
game,round,5.97,0.29438742894491665
boxing,round,7.61,0.08445088135969914
championship,tournament,8.36,0.6810698068427617
fighting,defeating,7.41,0.31488049970691234
line,insurance,2.69,-0.03116018995755686
day,summer,3.94,0.16263248498118799
summer,drought,7.16,0.09056449245327337
summer,nature,5.63,0.04417651416830837
day,dawn,7.53,0.17040509957554792
nature,environment,8.31,0.2325168962367074
environment,ecology,8.81,0.09444646299532405
nature,man,6.25,0.08421021237053451
man,woman,8.3,0.7720607580116999
man,governor,5.25,0.00787747180022274
murder,manslaughter,8.53,0.26710867756521667
soap,opera,7.94,0.08558077777349093
opera,performance,6.88,0.18564750485002543
life,lesson,5.94,0.009316382590591579
focus,life,4.06,0.1492229733045807
production,crew,6.25,0.1800214728874032
television,film,7.72,0.3350413098870975
lover,quarrel,6.19,0.24774476455683048
viewer,serial,2.97,0.16198448177260757
possibility,girl,1.94,0.1983911256192162
population,development,3.75,0.18419303756613792
morality,importance,3.31,0.17919246044415976
morality,marriage,3.69,0.051809474932931955
Mexico,Brazil,7.44,0.3343696775250274
gender,equality,6.41,0.5900918013961737
change,attitude,5.44,0.13548234365834003
family,planning,6.25,0.11711780687590707
opera,industry,2.63,-0.03451272481755768
sugar,approach,0.88,-0.0008687942098319462
practice,institution,3.19,0.11910854728895531
ministry,culture,4.69,0.22511697574018538
problem,challenge,6.75,0.14406275552874467
size,prominence,5.31,-0.010319438665146298
country,citizen,7.31,0.10429593588353588
planet,people,5.75,0.044807364998770374
development,issue,3.97,0.06966962996260129
experience,music,3.47,0.05070661186464704
music,project,3.63,0.05049635761166179
glass,metal,5.56,0.083395266195293
aluminum,metal,7.83,0.2294119903669951
chance,credibility,3.88,0.1196598220284488
exhibit,memorabilia,5.31,0.003920708878432144
concert,virtuoso,6.81,0.0
rock,jazz,7.59,0.7672064230836497
museum,theater,7.19,0.18683726220111116
observation,architecture,4.38,0.16976814491393316
space,world,6.53,0.028162514099135727
preservation,world,6.19,0.052195017641623535
admission,ticket,7.69,0.1415960305646867
shower,thunderstorm,6.31,0.9399893948599247
shower,flood,6.03,0.12408749487622397
weather,forecast,8.34,-0.005036696713635607
disaster,area,6.25,0.07192420801291587
governor,office,6.34,0.3312395622617814
architecture,century,3.78,0.0866699756077745
